Scholarship Name,Deadline,Amount,Description,Location,Years,Link
Texas Public Educational Grant Program (TPEG),Unknown deadline,500.0,Applicant must be attending a public school in Texas. Selection is based upon financial need.,Texas,"['College junior', 'College sophomore', 'High school senior', 'College senior', 'College freshman']",https://www.collegescholarships.org/financial-aid/scholarship/texas-public-educational-grant-program-tpeg
Tuition Equalization Grant,Unknown deadline,500.0,Applicant must be a Texas resident enrolled at a Texas college or university with financial need.,Texas,['College freshman'],https://www.collegescholarships.org/financial-aid/scholarship/tuition-equalization-grant
Leveraging Educational Assistance Partnership Program (LEAP) Grant,Unknown deadline,500.0,Applicant must be a Texas resident attending a public school in Texas at least part time. Selection is based upon financial need.,Texas,"['College junior', 'Master&#039;s-level study', 'College sophomore', 'College senior', 'College freshman']",https://www.collegescholarships.org/financial-aid/scholarship/leveraging-educational-assistance-partnership-program-leap-grant
Early High School Graduation Scholarship,Unknown deadline,500.0,Applicant must be a resident of Texas who completed the requirements for graduation from a Texas public high school in no more than 36 consecutive months. Applicant must attend a Texas college or university.,Texas,['College freshman'],https://www.collegescholarships.org/financial-aid/scholarship/early-high-school-graduation-scholarship
Fifth-Year Accounting Student Scholarship,Unknown deadline,500.0,Applicant must have completed at least 120 hours of college work and intend on taking the written exam conducted by the Texas State Board of Public Accountancy to receive a certificate of &quot;certified public accountant.&quot; Selection based upon financial need and scholastic ability and performance. Applicant must be a resident of Texas attending a participating Texas college or university.,Texas,"['College senior', 'Master&#039;s-level study']",https://www.collegescholarships.org/financial-aid/scholarship/fifth-year-accounting-student-scholarship
License Plate Insignia Scholarship,Unknown deadline,500.0,Applicant must be a resident of Texas and be attending a school in Texas. Selection is based upon financial need.,Texas,"['College freshman', 'College junior', 'College sophomore', 'High school senior']",https://www.collegescholarships.org/financial-aid/scholarship/license-plate-insignia-scholarship
Leroy Matthews Physician/Scientist Award,Unknown deadline,500.0,"Applicant must hold an M.D. or M.D./Ph.D and be a U.S. citizen or permanent resident. Award is for providing support for outstanding newly trained pediatricians and internists to complete subspecialty training, develop into independent investigators, and initiate a research program.",No Geographic Restrictions,"['Doctoral-level study', 'Other postgraduate-level study']",https://www.collegescholarships.org/financial-aid/scholarship/leroy-matthews-physicianscientist-award
Harry Shwachman Clinical Investigator Award,Unknown deadline,500.0,Applicant must be a U.S. citizen or a permanent resident and a clinically trained physician who will develop into an independent biomedical research investigator actively involved in a cystic fibrosis-related area.,No Geographic Restrictions,"['Other postgraduate-level study', 'Doctoral-level study']",https://www.collegescholarships.org/financial-aid/scholarship/harry-shwachman-clinical-investigator-award
Postdoctoral Research Fellowship,Unknown deadline,500.0,Applicant must be interested in conducting basic or clinical research related to cystic fibrosis and be a U.S. citizen or permanent resident.,No Geographic Restrictions,"['Other postgraduate-level study', 'Doctoral-level study', 'Master&#039;s-level study']",https://www.collegescholarships.org/financial-aid/scholarship/postdoctoral-research-fellowship
Clinical Fellowship,Unknown deadline,500.0,"Applicant must be eligible for Board certification in pediatrics or internal medicine when the fellowship begins and be a U.S. citizen or permanent resident. Award is to encourage specialized training early in a physician&#039;s career and to prepare candidates for careers in academic medicine. Training will take place in a Cystic Fibrosis Foundation care center and must encompass diagnostic and therapeutic procedures, comprehensive care, and cystic fibrosis-related research.",No Geographic Restrictions,"['Other postgraduate-level study', 'Master&#039;s-level study', 'Doctoral-level study']",https://www.collegescholarships.org/financial-aid/scholarship/clinical-fellowship
Student Traineeship,Unknown deadline,500.0,Award is to introduce students to research related to cystic fibrosis.,No Geographic Restrictions,"['Doctoral-level study', 'College senior', 'Master&#039;s-level study']",https://www.collegescholarships.org/financial-aid/scholarship/student-traineeship
SSPI Scholarship,Unknown deadline,500.0,"Selection based on academic and leadership achievement, commitment to pursue education and career opportunities in the industry, potential for creative future contribution to the industry, creative research submission, and a personal statement.",No Geographic Restrictions,"['Doctoral-level study', 'Master&#039;s-level study', 'College sophomore', 'College freshman', 'Other postgraduate-level study', 'College senior', 'College junior']",https://www.collegescholarships.org/financial-aid/scholarship/sspi-scholarship
Bernice Barnard Music Specialist Scholarship,Unknown deadline,500.0,"Applicant must be from the city of Ojai or Ventura. Applicant must submit three letters of recommendations, with two addressing applicant&#039;s musical qualifications.",Ventura,"['College freshman', 'College junior', 'College sophomore', 'High school senior']",https://www.collegescholarships.org/financial-aid/scholarship/bernice-barnard-music-specialist-scholarship
Calavo Scholarship,Unknown deadline,500.0,Awarded to students majoring in Agriculture at an accredited college or university. Applicant must be related or married to a member of Calvo Growers of California.,California,"['College sophomore', 'College freshman', 'College junior', 'High school senior']",https://www.collegescholarships.org/financial-aid/scholarship/calavo-scholarship
Community and Folk Arts Scholarship,Unknown deadline,500.0,"Applicant must have graduated from a Ventura County high school, be enrolled at an accredited college or university, and demonstrate an interest in the arts.",Ventura,"['College freshman', 'High school senior']",https://www.collegescholarships.org/financial-aid/scholarship/community-and-folk-arts-scholarship
Vicky Howard Community Service Award,Unknown deadline,500.0,"Applicant must be a resident of Ventura County, CA, and show high dedication to community service with a lot of volunteer activities. Graduating high school senior from the cities of Simi Valley or Moorpark.",Ventura,['High school senior'],https://www.collegescholarships.org/financial-aid/scholarship/vicky-howard-community-service-award
Parker M. and Virginia Howell Scholarship,Unknown deadline,800.0,"Applicant must have a minimum 3.0 GPA, major in engineering or writing, and be graduating from a high school in San Buenaventura, CA, or attending Ventura Community College.",Ventura,"['College junior', 'College sophomore', 'High school senior', 'College freshman']",https://www.collegescholarships.org/financial-aid/scholarship/parker-m-and-virginia-howell-scholarship
"Joyce M. Kennedy, Ph.D. Scholarship",Unknown deadline,500.0,"Applicant must have a minimum 2.5 GPA, reside in Ventura County, CA and attend CSUCI.",Ventura,"['College sophomore', 'College senior', 'College junior', 'College freshman']",https://www.collegescholarships.org/financial-aid/scholarship/joyce-m-kennedy-phd-scholarship
Sage Scholarship,Unknown deadline,500.0,"Applicant must be a resident of Ventura County, CA, and a graduating high school senior from Ventura County who demonstrates good citizenship and shows initiative and improvement in academic accomplishments.",Ventura,['College freshman'],https://www.collegescholarships.org/financial-aid/scholarship/sage-scholarship
Salik Omar Shah Scholarship,Unknown deadline,500.0,"Applicant must be graduating from an Oxnard or Camarillo, CA high school or a graduate from Viewpoint school, Calabasas, CA. Applicant must have a minimum 3.5 GPA.",No Geographic Restrictions,"['College junior', 'College sophomore', 'High school senior', 'College freshman']",https://www.collegescholarships.org/financial-aid/scholarship/salik-omar-shah-scholarship
Saticoy Lemon Association Employee Scholarship,Unknown deadline,500.0,"Applicant must be an employee, child or legal ward of an employee of Saticoy Lemon Association, and be a resident of Ventura County, CA.",Ventura,"['Doctoral-level study', 'College senior', 'Other postgraduate-level study', 'College freshman', 'High school senior', 'College sophomore', 'Master&#039;s-level study', 'College junior']",https://www.collegescholarships.org/financial-aid/scholarship/saticoy-lemon-association-employee-scholarship
Milton McKevett Teague Scholarship,Unknown deadline,500.0,Applicant must be a graduating high school senior or enrolled in an accredited college/business/trade school. Applicant must have been a Ventura County resident for a minimum of three preceding years and who shows school community involvement.,Ventura,"['Other postgraduate-level study', 'High school senior', 'Master&#039;s-level study', 'College junior', 'College freshman', 'College senior', 'College sophomore', 'Doctoral-level study']",https://www.collegescholarships.org/financial-aid/scholarship/milton-mckevett-teague-scholarship
Ventura County Agriculture Scholarship,Unknown deadline,600.0,"Applicant must have a minimum 3.0 GPA, demonstrate financial need, be the child of an agriculture worker, and a resident of Ventura County, CA.",Ventura,"['High school senior', 'College senior', 'College freshman', 'Doctoral-level study', 'College junior', 'Other postgraduate-level study', 'Master&#039;s-level study', 'College sophomore']",https://www.collegescholarships.org/financial-aid/scholarship/ventura-county-agriculture-scholarship
Helen Mathilda Yunker Music Scholarship,Unknown deadline,500.0,"Applicant must be a resident of Ventura County, CA or Ventura College. Applicant must be pursuing a degree in music.",Ventura,"['High school senior', 'College senior', 'Master&#039;s-level study', 'Other postgraduate-level study', 'College sophomore', 'College freshman', 'Doctoral-level study', 'College junior']",https://www.collegescholarships.org/financial-aid/scholarship/helen-mathilda-yunker-music-scholarship
Charles K. Gose Scholarship,Unknown deadline,500.0,"Applicant must have a minimum 3.5 GPA, be a resident and graduate of Ventura County, and have an interest in government, civics or teaching.",Ventura,['College freshman'],https://www.collegescholarships.org/financial-aid/scholarship/charles-k-gose-scholarship
BIA Higher Education Grant,Unknown deadline,500.0,Applicant must be an enrolled member of the Hopi Tribe. Applicant must have a minimum 2.5 GPA or minimum composite GED score of 45%. Financial need is considered.,No Geographic Restrictions,"['Master&#039;s-level study', 'College sophomore', 'College junior', 'College senior', 'College freshman']",https://www.collegescholarships.org/financial-aid/scholarship/bia-higher-education-grant
Hopi Scholarship,Unknown deadline,500.0,Applicant must be an enrolled member of the Hopi Tribe. Applicant who is an entering freshman must rank in top tenth of class and have a minimum composite ACT score of 21 (combined SAT Reasoning score of 930). Undergraduate applicants must have a minimum 2.5 GPA.,No Geographic Restrictions,"['College junior', 'College senior', 'College sophomore', 'College freshman']",https://www.collegescholarships.org/financial-aid/scholarship/hopi-scholarship
Private High School Scholarship,Unknown deadline,500.0,Applicant must be an enrolled member of the Hopi Tribe. Entering students must have a minimum 3.5 GPA; 3.25 GPA for continuing students.,No Geographic Restrictions,"['College senior', 'College freshman', 'College sophomore', 'College junior']",https://www.collegescholarships.org/financial-aid/scholarship/private-high-school-scholarship
Tuition/Book Scholarship,Unknown deadline,500.0,Applicant must be an enrolled member of the Hopi Tribe.,No Geographic Restrictions,"['College junior', 'College senior', 'College sophomore', 'College freshman']",https://www.collegescholarships.org/financial-aid/scholarship/tuitionbook-scholarship
Presidential Student Award,Unknown deadline,500.0,Applicant must submit a scientific paper for presentation at the meeting.,No Geographic Restrictions,['No Restrictions'],https://www.collegescholarships.org/financial-aid/scholarship/presidential-student-award
Morgan L. Fitch Scholarship,Unknown deadline,500.0,Applicant must be an Illinois resident enrolled in a real estate related program and have a minimum 3.5 GPA. Applicant must be enrolled at University of Illinois Champaign-Urbana.,Illinois,"['Other postgraduate-level study', 'Doctoral-level study', 'College senior', 'Master&#039;s-level study', 'College junior']",https://www.collegescholarships.org/financial-aid/scholarship/morgan-l-fitch-scholarship
Academic Scholarship,Unknown deadline,500.0,Applicant must be an Illinois resident enrolled in a real estate related field at a school in Illinois.,Illinois,"['Doctoral-level study', 'College junior', 'College sophomore', 'College senior', 'Other postgraduate-level study', 'Master&#039;s-level study']",https://www.collegescholarships.org/financial-aid/scholarship/academic-scholarship-17
Short-term Research Travel to Korea Grant,Unknown deadline,500.0,Applicant must be a scholar familiar with Korea.,No Geographic Restrictions,['No Restrictions'],https://www.collegescholarships.org/financial-aid/scholarship/short-term-research-travel-to-korea-grant
Research Assistance for Korean Studies,Unknown deadline,500.0,"Award is to cover a variety of scholarly needs that are not covered by other funding, such as research assistance and manuscript typing.",No Geographic Restrictions,"['Doctoral-level study', 'Other postgraduate-level study', 'Master&#039;s-level study']",https://www.collegescholarships.org/financial-aid/scholarship/research-assistance-for-korean-studies
Grant for Projects that Enhance Korean Studies Teaching,Unknown deadline,500.0,"Award is to offer support for planning, workshops, and materials related to teaching about Korea or integrating Korean studies topics in broader categories of instruction.",No Geographic Restrictions,"['College junior', 'College freshman', 'Other postgraduate-level study', 'Master&#039;s-level study', 'Doctoral-level study', 'College senior', 'College sophomore']",https://www.collegescholarships.org/financial-aid/scholarship/grant-for-projects-that-enhance-korean-studies-teaching
Instructional Materials for Korean Studies Grant,Unknown deadline,500.0,"Award is given to teachers and scholars who need to purchase instructional materials to enhance Korea-related classroom instruction. Applicant must specify the course or project, the number of students, and the title, price, and source of materials to be purchased.",No Geographic Restrictions,['No Restrictions'],https://www.collegescholarships.org/financial-aid/scholarship/instructional-materials-for-korean-studies-grant
Research Travel in North America for Korean Studies,Unknown deadline,500.0,"Applicant should be doing research on Korea and need to use museum, library or other archival materials located in the U.S. or Canada for research. Award is primarily intended for postdoctoral research; pre-doctoral dissertation research will be considered.",No Geographic Restrictions,"['Other postgraduate-level study', 'Doctoral-level study', 'Master&#039;s-level study']",https://www.collegescholarships.org/financial-aid/scholarship/research-travel-in-north-america-for-korean-studies
Short-term Travel to Japan for Professional Purposes Grant,Unknown deadline,500.0,Applicant must be a scholar performing research related to Japan who needs time in Japan to complete his or her work. Applicant must have a Ph.D. or comparable professional qualification and have not received funds in this category within the past five years. Ph.D. candidates are not eligible.,No Geographic Restrictions,['Other postgraduate-level study'],https://www.collegescholarships.org/financial-aid/scholarship/short-term-travel-to-japan-for-professional-purposes-grant
Grant for Seminars on Teaching about Japan,Unknown deadline,500.0,"Applicants must be U.S. citizens or permanent residents. Students must provide a detailed description of their proposed seminar, how the results will be made available and a detailed budget on how the funds will be utilized.",No Geographic Restrictions,"['Doctoral-level study', 'Master&#039;s-level study', 'Other postgraduate-level study']",https://www.collegescholarships.org/financial-aid/scholarship/grant-for-seminars-on-teaching-about-japan
Richard J. Roth Journalism Fellowship,Unknown deadline,500.0,Applicant must be a U.S. citizen and enrolled full-time in an accredited program. Recipient will be placed in the Majority Press Office.,New York,"['Master&#039;s-level study', 'Doctoral-level study', 'Other postgraduate-level study']",https://www.collegescholarships.org/financial-aid/scholarship/richard-j-roth-journalism-fellowship
Legislative Fellowship,Unknown deadline,500.0,"Applicant must be a U.S. Selection is based upon maturity, research and communication skills, and interest in planning, policy, and government. Program is designed to provide talented and skilled students with intimate knowledge of New York State government, fostering an understanding of the governmental system, and to attract those able students to public service careers from a variety of academic disciplines. Placement is to the office on an elected member of the Senate.",New York,"['Doctoral-level study', 'Master&#039;s-level study', 'Other postgraduate-level study']",https://www.collegescholarships.org/financial-aid/scholarship/legislative-fellowship
Black Men Building Resources Scholarship,Unknown deadline,500.0,"Applicant must be an African-American resident of Kent County, Mich. Transcript, essay, and financial form required. Selection is based upon academic achievement, extracurricular activities, personal statement, and financial need.",Kent,"['College junior', 'College sophomore', 'College freshman', 'College senior']",https://www.collegescholarships.org/financial-aid/scholarship/black-men-building-resources-scholarship
Dorothy J. Thurston Scholarship,Unknown deadline,500.0,"Applicant must be a graduate-level student attending an accredited school in the US, have a minimum 3.0 GPA, and have been a resident of Kent County, Mich. for at least two years, (at time of application or prior to college study). Selection is based upon academic achievement, extracurricular activities, personal statement, and financial need.",Kent,"['Master&#039;s-level study', 'Doctoral-level study']",https://www.collegescholarships.org/financial-aid/scholarship/dorothy-j-thurston-scholarship
Harry J. and Lucille B. Brown Scholarship,Unknown deadline,500.0,"Applicant must be a full-time student, have a minimum 3.3 GPA, and have been a resident of Kent County, Mich. for at least three years. Selection is based upon academic achievement, extracurricular activities, personal statement, and financial need.",Kent,"['College junior', 'College sophomore', 'College senior', 'College freshman']",https://www.collegescholarships.org/financial-aid/scholarship/harry-j-and-lucille-b-brown-scholarship
Paul Collins Scholarship,Unknown deadline,500.0,"Applicant must have a minimum 2.5 GPA, demonstrate artistic talent, and be a resident of Kent County, Mich. Selection is based upon academic achievement, extracurricular activities, personal statement, and financial need.",Kent,"['College sophomore', 'College freshman', 'College senior', 'College junior']",https://www.collegescholarships.org/financial-aid/scholarship/paul-collins-scholarship
Edwin F. Doyle Scholarship,Unknown deadline,800.0,"Applicant must be a graduate of Lowell High School in Michigan. Selection is based upon academic achievement, extracurricular activities, personal statement, and financial need.",No Geographic Restrictions,['College freshman'],https://www.collegescholarships.org/financial-aid/scholarship/edwin-f-doyle-scholarship
Donald J. DeYoung Scholarship,Unknown deadline,500.0,"Applicant must have had contact with the Family Division of Circuit Court, and must submit an essay, describing how being involved with the court system has meant to them in their life. Applicant must submit a letter of recommendation from a caseworker or probation officer, and demonstrate interest in pursuing college or vocational education. Selection is based upon a minimum 2.5 GPA, academic achievement, extracurricular activities, personal statement, and financial need.","Kent, Ottawa","['College sophomore', 'College freshman', 'College junior', 'College senior']",https://www.collegescholarships.org/financial-aid/scholarship/donald-j-deyoung-scholarship
Virginia Valk Fehsenfeld Scholarship,Unknown deadline,500.0,"Applicant must be a resident of Kent County, Mich., have a minimum 3.4 GPA. Selection is based upon academic achievement, extracurricular activities, personal statement, and financial need.",Kent,"['College freshman', 'College senior', 'College junior', 'College sophomore']",https://www.collegescholarships.org/financial-aid/scholarship/virginia-valk-fehsenfeld-scholarship
Mathilda Gallmeyer Scholarship,Unknown deadline,500.0,"Applicant must have a minimum 2.75 GPA, and have lived in Kent County, Mich. for at least five years. Applicant must have received artistic awards or recognition, and demonstrate artistic talent. Selection is based upon academic achievement, extracurricular activities, personal statement, and financial need.",Kent,"['College junior', 'College senior', 'College sophomore', 'College freshman']",https://www.collegescholarships.org/financial-aid/scholarship/mathilda-gallmeyer-scholarship
Grand Rapids Combined Theatre Scholarship,Unknown deadline,500.0,"Applicant must demonstrate ability, talent, and dedication to the theatre arts, be pursuing an education in theatre arts, and have worked in the Grand Rapids, Mich.. area community theatre. Preference is given to theatre arts majors. Selection is based upon academic achievement, extracurricular activities, personal statement, and financial need.",Grand Rapids,"['College sophomore', 'College senior', 'College junior', 'College freshman']",https://www.collegescholarships.org/financial-aid/scholarship/grand-rapids-combined-theatre-scholarship
Grand Rapids Foundation Local Scholarship,Unknown deadline,500.0,"Applicant must have a minimum 3.0 GPA, and have been a resident of Kent County, Mich. for at least three years. Selection is based upon academic achievement, extracurricular activities, personal statement, and financial need.",Kent,"['College freshman', 'College senior', 'College junior', 'College sophomore']",https://www.collegescholarships.org/financial-aid/scholarship/grand-rapids-foundation-local-scholarship
Grand Rapids Foundation Michigan Scholarship,Unknown deadline,500.0,"Applicant must have a minimum 3.0 GPA, demonstrate financial need, and have been a resident of Kent County, Mich. for at least three years. Applicant must attend any school in Michigan except Aquinas Coll, Calvin Coll, Cornerstone U., Davenport U., Grand Rapids Community Coll, Grand Valley St U, or Kendall Coll of Art and Design. Selection is based upon academic achievement, extracurricular activities, and a personal statement.",Kent,"['College freshman', 'College senior', 'College junior', 'College sophomore']",https://www.collegescholarships.org/financial-aid/scholarship/grand-rapids-foundation-michigan-scholarship
Guy D. and Mary Edith Hallady Music Scholarship,Unknown deadline,500.0,"Applicant must have a minimum 3.0 GPA, demonstrate financial need, and have been a resident of Kent County, Mich. for at least five years. Selection is based upon academic achievement, extracurricular activities, and a personal statement.",Kent,"['College senior', 'College sophomore', 'College freshman', 'College junior']",https://www.collegescholarships.org/financial-aid/scholarship/guy-d-and-mary-edith-hallady-music-scholarship
Guy D. and Mary Edith Hallady Graduate Scholarship,Unknown deadline,500.0,"Applicant must be a graduate student at a college or university in Michigan, and have been a resident of Kent County, Mich. for at least five years. Applicant must have a minimum 3.0 GPA, and demonstrate financial need. Selection is based upon academic achievement, extracurricular activities, and a personal statement.",Kent,"['Other postgraduate-level study', 'Doctoral-level study', 'Master&#039;s-level study']",https://www.collegescholarships.org/financial-aid/scholarship/guy-d-and-mary-edith-hallady-graduate-scholarship
Camilla C. Johnson Scholarship,Unknown deadline,500.0,"Applicant must be graduating from Union High School in Grand Rapids, Mich., have a minimum 2.6 GPA, and have participated in non-academic, extracurricular activities. Selection is based upon academic achievement, personal statement, and financial need.",Kent,['College freshman'],https://www.collegescholarships.org/financial-aid/scholarship/camilla-c-johnson-scholarship
Lavina Laible Scholarship,Unknown deadline,500.0,"Applicant must be a woman who is transferring to the U of Michigan for her junior year, and be a resident of Kent County, Mich. Selection is based upon academic achievement, extracurricular activities, personal statement, and financial need.",Kent,"['College junior', 'College senior']",https://www.collegescholarships.org/financial-aid/scholarship/lavina-laible-scholarship
Gladys A. Snauble Scholarship,Unknown deadline,500.0,"Applicant must be a graduating senior from Cedar Springs High School in Michigan. Selection is based upon academic achievement, extracurricular activities, personal statement, and financial need.",Michigan,['College freshman'],https://www.collegescholarships.org/financial-aid/scholarship/gladys-a-snauble-scholarship
Mildred E. Troske Music Scholarship,Unknown deadline,500.0,"Applicant must be a full-time student at an accredited institution, have a minimum 3.0 GPA, and have been a resident of Kent County, Mich. for at least five years. Selection is based upon academic achievement, extracurricular activities, personal statement, and financial need.",Kent,"['College senior', 'College sophomore', 'College freshman', 'College junior']",https://www.collegescholarships.org/financial-aid/scholarship/mildred-e-troske-music-scholarship
Keith C. VanderHyde Scholarship,Unknown deadline,500.0,"Applicant must be a graduate of Ottawa Hills High School, have been a resident of Kent County, Mich., for at least three years, and have a minimum 3.0 GPA. Selection is based upon academic achievement, extracurricular activities, personal statement, and financial need.",Kent,"['College junior', 'College sophomore', 'College senior', 'College freshman']",https://www.collegescholarships.org/financial-aid/scholarship/keith-c-vanderhyde-scholarship
Donald M. Wells Scholarship,Unknown deadline,500.0,"Applicant must have been a resident of Kent County, MI who is a graduate of Central High School in Grand Rapids and is pursuing undergraduate studies at Grand Rapids Community College, University of Michigan, or the University of Chicago. Minimum 2.5 GPA and financial need required. Selection based upon academic achievement, extracurricular activities, personal statement, and financial need.",Kent,"['College junior', 'College senior', 'College sophomore', 'College freshman']",https://www.collegescholarships.org/financial-aid/scholarship/donald-m-wells-scholarship
Walter C. Winchester Scholarship,Unknown deadline,500.0,"Applicant must be graduating from Central High School, City High School, Ottawa Hills High School, or Union High School, with a minimum 3.3 GPA. Selection is based upon academic achievement, extracurricular activities, personal statement, and financial need.",Grand Rapids,"['College junior', 'College senior', 'College freshman', 'College sophomore']",https://www.collegescholarships.org/financial-aid/scholarship/walter-c-winchester-scholarship
Russell and Sigurd Varian Fellowship,Unknown deadline,500.0,Applicant must be a full-time student at a school in North America. Award is to recognize and encourage excellence in vacuum science.,No Geographic Restrictions,"['Doctoral-level study', 'Master&#039;s-level study']",https://www.collegescholarships.org/financial-aid/scholarship/russell-and-sigurd-varian-fellowship
Nellie Yeoh Whetten Award,Unknown deadline,500.0,Applicant must be a woman attending a school in North America. Selection is based upon academic and research excellence.,No Geographic Restrictions,['No Restrictions'],https://www.collegescholarships.org/financial-aid/scholarship/nellie-yeoh-whetten-award
Graduate Research Award,Unknown deadline,500.0,Applicant must be attending an accredited institution in North America. Award is to recognize and encourage excellence in the sciences and technologies of interest to the American Vacuum Society. Selection is based upon research and academic excellence.,No Geographic Restrictions,['No Restrictions'],https://www.collegescholarships.org/financial-aid/scholarship/graduate-research-award
Italian American Chamber of Commerce Scholarship,Unknown deadline,500.0,"Applicant must be of Italian ancestry and be a resident of Cook, DuPage, Kane, Lake, Will, or McHenry County in Illinois. Applicant must be a full time student who has a minimum 3.5 GPA (4.5 on 5.0 scale). Selection is based upon the applicant&#039;s good moral character, scholastic achievement, and sincerity of interest in attending or finishing college.","Cook, Du Page, Kane, Lake, Mchenry, Will","['College junior', 'College sophomore', 'High school senior', 'College senior', 'College freshman']",https://www.collegescholarships.org/financial-aid/scholarship/italian-american-chamber-of-commerce-scholarship
Adele Filene Travel Award,Unknown deadline,500.0,Applicant must be a member of CSA. Award is to assist travel to CSA National Symposia to present either a juried paper or a poster.,No Geographic Restrictions,"['Master&#039;s-level study', 'Other postgraduate-level study', 'College senior', 'College junior', 'College sophomore', 'College freshman', 'Doctoral-level study']",https://www.collegescholarships.org/financial-aid/scholarship/adele-filene-travel-award
David Tamotsu Kagiwada Memorial Scholarship,Unknown deadline,500.0,"Applicant must be a member of the Christian Church (Disciples of Christ), plan to prepare for the ordained ministry, have a minimum &quot;C+&quot; grade average, and be Asian-American. Applicant must submit transcripts and references.",No Geographic Restrictions,"['Other postgraduate-level study', 'Doctoral-level study', 'Master&#039;s-level study', 'College senior']",https://www.collegescholarships.org/financial-aid/scholarship/david-tamotsu-kagiwada-memorial-scholarship
James M. Philputt Memorial Scholarship,Unknown deadline,500.0,"Applicant must be a member of the Christian Church (Disciples of Christ), plan to prepare for the ordained ministry, have a minimum &quot;C+&quot; grade average, and submit transcripts and references.",No Geographic Restrictions,['Master&#039;s-level study'],https://www.collegescholarships.org/financial-aid/scholarship/james-m-philputt-memorial-scholarship
Rowley/Wolfe Ministerial Education Scholarship,Unknown deadline,500.0,"Applicant must be a member of the Christian Church (Disciples of Christ), plan to prepare for the ordained ministry, and have a minimum grade average of &quot;C+.&quot; Applicant must submit transcripts and references.",No Geographic Restrictions,"['College sophomore', 'College freshman', 'Master&#039;s-level study', 'Other postgraduate-level study', 'Doctoral-level study', 'College junior', 'College senior']",https://www.collegescholarships.org/financial-aid/scholarship/rowleywolfe-ministerial-education-scholarship
Katherine J. Schutze Memorial Scholarship,Unknown deadline,500.0,"Applicant must be a woman who is a member of the Christian Church (Disciples of Christ), plans to prepare for the ordained ministry, shows financial need, and has at least a grade average of &quot;C+.&quot; Applicant must submit transcripts and references.",No Geographic Restrictions,"['College sophomore', 'College freshman', 'College junior', 'High school senior']",https://www.collegescholarships.org/financial-aid/scholarship/katherine-j-schutze-memorial-scholarship
Postdoctoral Fellowship in the Atmospheric Sciences,Unknown deadline,500.0,Applicant must have a Ph.D. or Sc.D. granted in an area related to the National Center for Atmospheric Research science or must be able to complete such a degree and finish all thesis revisions and defense before starting the NCAR appointment.,No Geographic Restrictions,['Other postgraduate-level study'],https://www.collegescholarships.org/financial-aid/scholarship/postdoctoral-fellowship-in-the-atmospheric-sciences
Hansen Scholar Award,Unknown deadline,500.0,"Applicant must be a graduating senior from a high school in the 26-county area of northwest Kansas, have a minimum 3.5 GPA, and plan to attend an accredited four-year college or university in Kansas.","Cheyenne, Decatur, Ellis, Gove, Graham, Logan, Norton, Osborne, Phillips, Rawlins, Rooks, Russell, Sheridan, Sherman, Smith, Thomas, Trego, Wallace",['High school senior'],https://www.collegescholarships.org/financial-aid/scholarship/hansen-scholar-award
Hansen Student Scholarship,Unknown deadline,500.0,"Applicant must be a graduating senior from a high school in the 26-county area of northwest Kansas, have a minimum 3.5 GPA, and plan on attending a an accredited school in Kansas.","Cheyenne, Cloud, Decatur, Ellis, Ellsworth, Gove, Graham, Jewell, Lincoln, Logan, Mitchell, Norton, Osborne, Ottawa, Phillips, Rawlins, Republic, Rooks, Russell, Saline, Sheridan, Sherman, Smith, Thomas, Trego, Wallace",['High school senior'],https://www.collegescholarships.org/financial-aid/scholarship/hansen-student-scholarship
Hansen Career and Technical Education Scholarship,Unknown deadline,500.0,Applicants must be full-time students who will graduate in the current academic year from a high school in the 26 county area of Northwest Kansas. Applicants should display good character.,No Geographic Restrictions,['High school senior'],https://www.collegescholarships.org/financial-aid/scholarship/hansen-career-and-technical-education-scholarship
Ted and Nora Anderson Scholarship,Unknown deadline,500.0,Applicant must be a child of a Kansas American Legion or Auxiliary member and attending a school in Kansas.,Kansas,"['College junior', 'College freshman', 'College sophomore']",https://www.collegescholarships.org/financial-aid/scholarship/ted-and-nora-anderson-scholarship
Dr. Click Cowger Scholarship,Unknown deadline,500.0,Applicant must have played or currently be playing on a Kansas American Legion Baseball team and attending an approved Kansas school.,Kansas,"['College sophomore', 'College freshman']",https://www.collegescholarships.org/financial-aid/scholarship/dr-click-cowger-scholarship
Paul L. Flaherty Scholarship,Unknown deadline,250.0,"Applicant must be a resident of Kansas, have participated in high school athletics, and attend an approved Kansas school.",Kansas,"['College sophomore', 'College freshman', 'College junior']",https://www.collegescholarships.org/financial-aid/scholarship/paul-l-flaherty-scholarship
Hugh A. Smith Scholarship,Unknown deadline,500.0,Applicant must be the child of an American Legion or Auxiliary member and attend an approved Kansas school.,Kansas,"['College junior', 'College freshman', 'College sophomore']",https://www.collegescholarships.org/financial-aid/scholarship/hugh-a-smith-scholarship
John and Geraldine Hobble Licensed Practical Nursing Scholarship,Unknown deadline,300.0,"Applicant must be a Kansas resident, be at least 18 years old prior to taking the Kansas State Board Examination, and attend an accredited Kansas school that awards an L.P.N. degree.",Kansas,"['College freshman', 'High school senior']",https://www.collegescholarships.org/financial-aid/scholarship/john-and-geraldine-hobble-licensed-practical-nursing-scholarship
